,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
40,17.566,15.969,13.405,11.925,12.928,9.317,8.56,8.115,Hmag | Kmag,1.57,-57.545887,4.324,3.538,13.394,152.325021,8.41,7.995,109,1,0,0,1
46,17.929,16.214,13.487,11.917,12.97,9.144,8.367,7.875,Jmag | Hmag | Kmag,2.09,-57.463467,4.366,3.528,13.506,152.598693,8.49,8.524,130,1,0,0,1
98,16.304,15.184,12.878,11.698,12.404,9.383,8.702,8.27,Hmag | Kmag,3.6,-57.016295,4.352,3.638,12.88,153.926987,8.89,7.143,261,1,0,0,1
131,16.936,15.48,12.953,11.486,12.341,8.693,7.87,7.414,Jmag | Hmag | Kmag,1.83,-57.407289,4.341,3.794,12.942,153.668178,7.76,8.35,331,1,0,0,1
152,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,Kmag,4.29,-57.090546,4.417,3.769,15.327,154.220685,9.29,10.406,376,1,0,0,1
241,17.558,16.161,13.57,12.095,13.049,9.327,8.474,7.953,Hmag | Kmag,0.54,-57.54657,4.404,3.787,13.571,154.177204,8.89,8.544,559,1,0,0,1
301,14.975,14.257,12.236,11.081,11.762,8.968,8.297,7.94,Jmag | Hmag | Kmag,0.28,-57.917252,4.488,3.769,12.251,154.224633,9.91,6.844,708,1,0,0,1
437,19.141,17.146,14.245,12.551,13.746,9.479,8.656,8.113,Hmag | Kmag,4.96,-57.159384,4.315,3.589,14.247,156.036587,8.19,9.147,1006,1,0,0,1
455,15.7,14.928,12.883,11.681,12.432,9.315,8.62,8.2,Hmag | Kmag,0.84,-58.052421,4.424,4.026,12.882,155.131682,9.43,7.261,1041,1,0,0,1
549,14.6,14.32,12.575,11.566,12.225,9.273,8.673,8.371,Hmag | Kmag,4.69,-57.75862,4.53,4.4,12.582,156.00499,10.69,6.772,1216,1,0,0,1
1120,14.979,14.243,12.437,11.366,11.68,9.488,8.925,8.498,Kmag,6.16,-58.818031,4.316,3.785,12.286,158.143987,8.94,6.007,2881,1,1,0,1
1713,15.168,14.395,12.444,11.318,11.885,9.005,8.365,8.059,Jmag | Hmag | Kmag,6.44,-59.199053,4.363,4.013,12.356,160.281809,8.68,6.855,4755,1,0,0,1
1937,17.744,16.371,13.813,12.309,13.302,9.674,8.837,8.406,Kmag,2.12,-58.782316,4.47,3.647,13.814,161.481177,10.03,8.375,5468,1,0,0,1
2245,16.736,16.161,13.962,12.592,13.489,9.756,8.88,8.334,Kmag,3.46,-59.783881,4.624,4.526,13.954,161.403107,11.66,8.616,6480,1,0,0,0
4753,16.71,15.442,13.14,11.778,12.642,9.577,8.856,8.469,Kmag,4.68,-60.884853,4.365,3.479,13.127,167.855369,9.22,7.189,12768,1,0,0,1
5359,16.351,15.423,13.115,11.7,12.603,9.018,8.19,7.617,Jmag | Hmag | Kmag,3.48,-61.330502,4.548,4.098,13.109,168.918911,10.1,8.415,13765,1,0,0,1
5605,15.297,14.487,12.594,11.352,12.067,9.205,8.511,8.126,Hmag | Kmag,7.18,-61.469052,4.36,3.954,12.545,169.767548,8.81,6.79,14229,1,0,0,1
5722,20.484,18.317,15.149,13.372,14.604,9.97,9.007,8.402,Kmag,1.96,-61.949044,4.369,3.68,15.143,170.078909,8.86,10.121,14506,1,0,0,1
